nama_course,kategori,level,price,jumlah_peserta,content_duration,level,title_clean,rating,num_reviews,benefit
Trading mit kleinen Konten - Grundlagen die du kennen musst,Business Finance,beginner level,80,74,3.5,Beginner,trading mit kleinen konten - grundlagen die du kennen musst,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
entiende la contabilidad y consigue un aumento de salario,Business Finance,beginner level,20,260,1.5,Beginner,entiende la contabilidad y consigue un aumento de salario,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Disminuye deudas en tu hogar en menos de 30 días,Business Finance,beginner level,20,65,1.5,Beginner,disminuye deudas en tu hogar en menos de 30 días,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Trading Intradiario basado en Precio y Volumen,Business Finance,intermediate level,40,92,1.5,Intermediate,trading intradiario basado en precio y volumen,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Wie funktionieren Bitcoin? Ein Einführungskurs.,Business Finance,beginner level,20,14,0.6166666666666667,Beginner,wie funktionieren bitcoin? ein einführungskurs.,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Accounting Plus Excel and SAP Crash Course.,Business Finance,beginner level,20,18,1.0,Beginner,financial accounting plus excel and sap crash course.,4.092215,44.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
ACCA MA1 Management Information,Business Finance,beginner level,50,16,3.5,Beginner,acca ma1 management information,4.2642064,59.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to Bitcoin for Beginners,Business Finance,beginner level,20,2,0.5666666666666667,Beginner,introduction to bitcoin for beginners,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Eu Funding: Module 2 - Introduction to Horizon 2020,Business Finance,intermediate level,20,11,1.0,Intermediate,eu funding: module 2 - introduction to horizon 2020,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
How I Make Money Writing About Stocks Online,Business Finance,beginner level,195,360,2.5,Beginner,how i make money writing about stocks online,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Demystifying Your Personal Tax Return,Business Finance,beginner level,0,3426,1.0,Beginner,demystifying your personal tax return,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Master Calendar Spreads with this live trade on Gold (GLD),Business Finance,expert level,60,540,1.0,Expert,master calendar spreads with this live trade on gold (gld),4.5358357,125.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Accounting 101: Guide to Business Accounting,Business Finance,beginner level,50,2031,14.5,Beginner,accounting 101: guide to business accounting,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Win 90% of Trades; Quantitative Investments Models in Excel,Business Finance,beginner level,200,4,1.5,Beginner,win 90% of trades; quantitative investments models in excel,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Accounting and the Triple Bottom Line,Business Finance,intermediate level,30,6,0.55,Intermediate,accounting and the triple bottom line,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
MQL5 - Beginner To Expert,Business Finance,beginner level,45,16,1.5,Beginner,mql5 - beginner to expert,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Xero Bookkeeping Course & Certification by Accounting Firm,Business Finance,beginner level,20,7,2.0,Beginner,xero bookkeeping course & certification by accounting firm,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Statements Analysis: Learn to Invest Like a Pro!,Business Finance,beginner level,50,1237,2.5,Beginner,financial statements analysis: learn to invest like a pro!,4.2611394,102.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Mergers and Acquisitions M&A Essentials You Need to Know,Business Finance,beginner level,95,4103,1.0,Beginner,mergers and acquisitions m&a essentials you need to know,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
How To Confidently Join The Bitcoin Revolution,Business Finance,beginner level,45,547,7.0,Beginner,how to confidently join the bitcoin revolution,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Accounting - The Ultimate Beginner Course,Business Finance,beginner level,100,9,10.0,Beginner,financial accounting - the ultimate beginner course,4.412028,136.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Bitcoins - Past, Present, Future",Business Finance,beginner level,20,373,1.5,Beginner,"bitcoins - past, present, future",4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex: Presentation and  Analysis (Fundamental & Technical),Business Finance,beginner level,50,14,1.5,Beginner,forex: presentation and  analysis (fundamental & technical),4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Year-end QuickBooks Procedures,Business Finance,beginner level,20,51,2.0,Beginner,year-end quickbooks procedures,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Price Action Gap Trading Strategies,Business Finance,intermediate level,20,13,1.0,Intermediate,price action gap trading strategies,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Basics of Private Equity,Business Finance,intermediate level,60,9,0.6666666666666666,Intermediate,basics of private equity,3.494497,56.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
ビットコイン生態系｜既存通貨が主役をやめる日,Business Finance,beginner level,20,701,1.5,Beginner,ビットコイン生態系｜既存通貨が主役をやめる日,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Trading Forex - Trader avec les figures harmoniques,Business Finance,beginner level,90,57,2.0,Beginner,trading forex - trader avec les figures harmoniques,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Введение в Финансовую Инженерию,Business Finance,beginner level,50,205,5.0,Beginner,введение в финансовую инженерию,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
資産運用の基礎を学ぶファイナンス入門,Business Finance,beginner level,20,114,4.0,Beginner,資産運用の基礎を学ぶファイナンス入門,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Buchführung lernen leicht gemacht,Business Finance,beginner level,40,446,5.0,Beginner,buchführung lernen leicht gemacht,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Day Trading: High ROI Day Trading ,Business Finance,intermediate level,150,17,6.5,Intermediate,day trading: high roi day trading,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
An Introduction to Management of Portfolios (MoP),Business Finance,beginner level,20,117,1.5,Beginner,an introduction to management of portfolios (mop),4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Effective Debt Collection Strategies,Business Finance,intermediate level,40,5,1.5,Intermediate,effective debt collection strategies,4.5642424,309.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Capital Structuring Techiques for CA / CFA / CPA Exams,Business Finance,intermediate level,125,4480,7.0,Intermediate,capital structuring techiques for ca / cfa / cpa exams,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn How to Start Small and Make It Big In Small-Cap Stocks,Business Finance,beginner level,50,2635,2.0,Beginner,learn how to start small and make it big in small-cap stocks,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stock Market: The Zero Risk Way of Investing,Business Finance,beginner level,25,2046,0.6333333333333333,Beginner,stock market: the zero risk way of investing,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
From 0 to 1: Investments and Portfolio Theory,Business Finance,beginner level,50,230,4.5,Beginner,from 0 to 1: investments and portfolio theory,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn to Trade With Fibonacci Tools,Business Finance,intermediate level,30,252,4.0,Intermediate,learn to trade with fibonacci tools,4.7299457,459.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
From 0 to 1: Bond Theory and Valuation,Business Finance,beginner level,50,223,4.0,Beginner,from 0 to 1: bond theory and valuation,4.645475,25.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to Financial Statements,Business Finance,beginner level,40,112,1.5,Beginner,introduction to financial statements,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
CFA Level I Foundation Course: Introduction to Quants,Business Finance,beginner level,50,155,5.0,Beginner,cfa level i foundation course: introduction to quants,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to the CFA Program,Business Finance,beginner level,0,4248,1.0,Beginner,introduction to the cfa program,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Chartered Financial Analyst (CFA) - Level 1 - FRA,Business Finance,beginner level,30,517,14.5,Beginner,chartered financial analyst (cfa) - level 1 - fra,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Advanced Butterfly Spreads for Options Income Strategies,Business Finance,expert level,60,16,1.0,Expert,advanced butterfly spreads for options income strategies,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
IPO Fundamentals,Business Finance,beginner level,20,1122,1.0,Beginner,ipo fundamentals,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Finance for Non-Finance: Learn Quick and Easy,Business Finance,beginner level,20,4158,2.5,Beginner,finance for non-finance: learn quick and easy,4.445109,17875.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Advanced Options Trading Course,Business Finance,intermediate level,40,1252,0.5333333333333333,Intermediate,advanced options trading course,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Work From Home Online (Part/Full) : Trade Forex 4 Beginners,Business Finance,beginner level,45,2981,1.0,Beginner,work from home online (part/full) : trade forex 4 beginners,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Ratios Using Excel,Business Finance,beginner level,100,1223,1.0,Beginner,financial ratios using excel,4.4397154,58.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
How To Set Up A Limited Company In The UK,Business Finance,beginner level,0,2075,0.7333333333333333,Beginner,how to set up a limited company in the uk,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial and Business Simulation with Microsoft Excel,Business Finance,expert level,20,44,0.5166666666666666,Expert,financial and business simulation with microsoft excel,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stocks: Quick Method to get started Investing,Business Finance,beginner level,0,718,1.0,Beginner,stocks: quick method to get started investing,3.8566222,121.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
The Truths about (in)secure Retirement,Business Finance,intermediate level,200,86,4.5,Intermediate,the truths about (in)secure retirement,3.7911448,19.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn the Basics of the Wave Principle:,Business Finance,beginner level,30,27,1.5,Beginner,learn the basics of the wave principle:,4.0953693,60.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to Corporate Finance (Mergers & Acquisitions),Business Finance,beginner level,0,2080,1.5,Beginner,introduction to corporate finance (mergers & acquisitions),4.4761796,8797.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn to trade Candlestick Patterns,Business Finance,intermediate level,20,155,1.5,Intermediate,learn to trade candlestick patterns,4.315453,431.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Invest Like a Pro!,Business Finance,beginner level,200,1173,2.5,Beginner,invest like a pro!,4.396514,39.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
ACCA FA1 Recording Financial Transactions,Business Finance,beginner level,50,49,3.5,Beginner,acca fa1 recording financial transactions,4.4879456,600.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Small Business and Managerial Accounting Training Tutorial,Business Finance,beginner level,20,117,3.5,Beginner,small business and managerial accounting training tutorial,3.7643602,21.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn to invest in the Stock Market,Business Finance,beginner level,40,28,1.0,Beginner,learn to invest in the stock market,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Planning and Executing a Financial Statement Audit,Business Finance,intermediate level,50,0,2.0,Intermediate,planning and executing a financial statement audit,3.5183594,171.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
The Latest Updates 2016 Financial Accounting Standards Board,Business Finance,intermediate level,50,1,2.0,Intermediate,the latest updates 2016 financial accounting standards board,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Basic Bookkeeping,Business Finance,beginner level,35,0,0.7333333333333333,Beginner,basic bookkeeping,4.0104823,37.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Credit concepts and checklist for bankers, credit analyst",Business Finance,beginner level,20,0,2.5,Beginner,"credit concepts and checklist for bankers, credit analyst",4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Practical Film Financing: Finding & Pitching Investors,Business Finance,beginner level,100,0,1.0,Beginner,practical film financing: finding & pitching investors,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Ratio Analysis for Financial Statements,Business Finance,beginner level,50,0,2.0,Beginner,ratio analysis for financial statements,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
60 Minutes to Fundamental Accounting Skills,Business Finance,beginner level,75,0,2.5,Beginner,60 minutes to fundamental accounting skills,4.627647,372.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Backspreads, Diagonals and Butterflies - Advanced Strategies",Business Finance,expert level,60,737,2.0,Expert,"backspreads, diagonals and butterflies - advanced strategies",4.657551,132.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Weekly Options and study of Options expiration dynamics,Business Finance,expert level,60,779,1.0,Expert,weekly options and study of options expiration dynamics,3.9586546,441.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Cost Accounting Basics (Professional Course Level),Business Finance,beginner level,20,1777,1.0,Beginner,cost accounting basics (professional course level),4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Hedge Fund Trading Systems Part Two - Stocks & ETFs,Business Finance,expert level,200,56,2.5,Expert,hedge fund trading systems part two - stocks & etfs,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stock Market Option Trading: How Sell Options For Premium,Business Finance,intermediate level,200,1909,2.0,Intermediate,stock market option trading: how sell options for premium,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Straddles and Strangles - Volatility moves in any direction,Business Finance,expert level,60,775,1.5,Expert,straddles and strangles - volatility moves in any direction,4.195396,315.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Trading: Basics of Trading for Beginners,Business Finance,beginner level,140,1309,1.5,Beginner,trading: basics of trading for beginners,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Options Spreads Bundle-  the heart of Options Trading,Business Finance,intermediate level,120,623,2.5,Intermediate,options spreads bundle-  the heart of options trading,4.86903,167.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Basics of Economics For Beginners A to Z - A Complete Course,Business Finance,beginner level,170,1942,1.5,Beginner,basics of economics for beginners a to z - a complete course,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Modeling for Professionals in 1 Day!,Business Finance,intermediate level,200,226,4.5,Intermediate,financial modeling for professionals in 1 day!,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn Call Options and Put Options - Introduction to Options,Business Finance,beginner level,60,1017,3.0,Beginner,learn call options and put options - introduction to options,4.031602,214.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Double Entry Bookkeeping,Business Finance,beginner level,50,440,1.0,Beginner,double entry bookkeeping,4.531327,72.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
MQL5 Tutorial Bootcamp,Business Finance,beginner level,20,978,0.5333333333333333,Beginner,mql5 tutorial bootcamp,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Accounting Skills for Managers,Business Finance,beginner level,20,78,1.5,Beginner,accounting skills for managers,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Analysis and Evaluation of Economic Feasibility of Projects,Business Finance,intermediate level,100,10,1.0,Intermediate,analysis and evaluation of economic feasibility of projects,3.5652714,51.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Bitcoin For Beginners,Business Finance,beginner level,50,37,4.0,Beginner,bitcoin for beginners,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Modeling 101,Business Finance,beginner level,0,1086,0.6166666666666667,Beginner,financial modeling 101,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to Small Business Accounting Training Tutorial,Business Finance,beginner level,25,168,3.5,Beginner,introduction to small business accounting training tutorial,4.577899,135.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to Digital Payments ,Business Finance,beginner level,0,12217,1.0,Beginner,introduction to digital payments,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Modeling in Excel for Startups,Business Finance,beginner level,50,1334,6.0,Beginner,financial modeling in excel for startups,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn to Trade Forex Naked Price Action Big Shadow Trade,Business Finance,intermediate level,0,5407,1.0,Intermediate,learn to trade forex naked price action big shadow trade,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex Trading For Beginners ,Business Finance,beginner level,0,9483,2.0,Beginner,forex trading for beginners,4.215481,4.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex Trading For Beginners ,Business Finance,beginner level,0,9483,2.0,Beginner,forex trading for beginners,0.0,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex Trading For Beginners ,Business Finance,beginner level,0,9483,2.0,Beginner,forex trading for beginners,4.305508,4256.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Beginners Guide to Stock Market Investing,Business Finance,beginner level,0,3283,2.5,Beginner,beginners guide to stock market investing,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Management Capital Market Instruments,Business Finance,beginner level,25,2650,1.0,Beginner,financial management capital market instruments,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
NPV and IRR Techniques for CA / CFA / CPA Exams,Business Finance,beginner level,20,1551,7.5,Beginner,npv and irr techniques for ca / cfa / cpa exams,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Bitcoin for Accountants,Business Finance,beginner level,0,3519,1.0,Beginner,bitcoin for accountants,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Financial Accounting, its Cycle, Statements & Analysis",Business Finance,beginner level,20,853,5.0,Beginner,"financial accounting, its cycle, statements & analysis",4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Value Investing and Stock Market Fundamentals,Business Finance,beginner level,195,74,3.0,Beginner,value investing and stock market fundamentals,3.4291527,25.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn the Forex Naked Price Action Pogo Trade,Business Finance,intermediate level,60,89,1.0,Intermediate,learn the forex naked price action pogo trade,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Budget preparation for an EU project proposal,Business Finance,intermediate level,50,18,1.0,Intermediate,budget preparation for an eu project proposal,4.232417,32.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Don't Let Your Customers Run Your Business,Business Finance,intermediate level,50,7,2.5,Intermediate,don't let your customers run your business,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Working Capital Management for Entrepreneurs,Business Finance,expert level,20,507,1.0,Expert,working capital management for entrepreneurs,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn Quickbooks to maintain books properly,Business Finance,beginner level,20,241,2.5,Beginner,learn quickbooks to maintain books properly,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
CFA Level I Foundation: Introduction to Financial Reporting,Business Finance,beginner level,50,226,5.5,Beginner,cfa level i foundation: introduction to financial reporting,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Basics of Trading,Business Finance,beginner level,40,99,1.0,Beginner,basics of trading,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
CFP - Introduction to Financial Planning,Business Finance,beginner level,30,1192,12.0,Beginner,cfp - introduction to financial planning,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Accounting Basics by Hector Garcia, CPA",Business Finance,beginner level,0,1924,1.0,Beginner,"accounting basics by hector garcia, cpa",4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn About Bitcoin and Bitcoin Mining,Business Finance,beginner level,20,520,0.5333333333333333,Beginner,learn about bitcoin and bitcoin mining,2.8651772,39.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Take Control By Learning The Stock Market Now,Business Finance,beginner level,30,1440,1.0,Beginner,take control by learning the stock market now,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
high swing - كورس لتعليم جميع مراحل احتراف تداول الفوركس,Business Finance,intermediate level,100,12,2.5,Intermediate,high swing - كورس لتعليم جميع مراحل احتراف تداول الفوركس,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
财务分析与估值建模入门,Business Finance,beginner level,0,505,1.5,Beginner,财务分析与估值建模入门,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Aprende a llevar la contabilidad de forma informatizada,Business Finance,beginner level,25,6,4.5,Beginner,aprende a llevar la contabilidad de forma informatizada,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
La costruzione del budget di una proposta comunitaria,Business Finance,intermediate level,50,10,1.0,Intermediate,la costruzione del budget di una proposta comunitaria,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Teeter-Totter Accounting,Business Finance,beginner level,90,0,1.0,Beginner,teeter-totter accounting,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
beginning accounting,Business Finance,intermediate level,20,0,0.6333333333333333,Intermediate,beginning accounting,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stop Creditors from Harassing you and Avoid Bankruptcy,Business Finance,beginner level,20,0,0.6166666666666667,Beginner,stop creditors from harassing you and avoid bankruptcy,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn to trade using technical analysis,Business Finance,intermediate level,50,0,0.5333333333333333,Intermediate,learn to trade using technical analysis,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Free Ways to Create Passive Income Online,Business Finance,beginner level,25,0,1.0,Beginner,free ways to create passive income online,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
The Cash Flow Statement - An Introduction,Business Finance,beginner level,50,0,1.5,Beginner,the cash flow statement - an introduction,3.8633115,162.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Options Foundation - Time Decay, Implied Volatility, Greeks",Business Finance,beginner level,60,459,3.0,Beginner,"options foundation - time decay, implied volatility, greeks",4.3944283,124.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Buying Call and Put Options - Options beginner strategies,Business Finance,intermediate level,60,266,3.0,Intermediate,buying call and put options - options beginner strategies,4.8250294,77.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex - Catch the Big Market Moves in Forex,Business Finance,intermediate level,20,212,1.5,Intermediate,forex - catch the big market moves in forex,3.9429727,46.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Intermediate Accounting 1: Easy. Fast. Simple!,Business Finance,intermediate level,200,90,2.5,Intermediate,intermediate accounting 1: easy. fast. simple!,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Global Macro Investing - Take Control Of The World's Markets,Business Finance,intermediate level,30,153,2.0,Intermediate,global macro investing - take control of the world's markets,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
How to Read a Balance Sheet,Business Finance,beginner level,50,1055,3.5,Beginner,how to read a balance sheet,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Matemática Financeira com HP12C e MS Excel,Business Finance,beginner level,20,74,4.5,Beginner,matemática financeira com hp12c e ms excel,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
¡Triunfar en La Bolsa de Valores No Requiere de Experiencia!,Business Finance,beginner level,0,338,1.0,Beginner,¡triunfar en la bolsa de valores no requiere de experiencia!,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Finanzas Personales para Vivir Libre de Deudas,Business Finance,beginner level,75,76,6.0,Beginner,finanzas personales para vivir libre de deudas,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Finanzas personales: Logrando la Libertad Financiera,Business Finance,beginner level,30,27,2.0,Beginner,finanzas personales: logrando la libertad financiera,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
株式投資で本当のテクニカル分析ができるようになる,Business Finance,intermediate level,20,68,2.5,Intermediate,株式投資で本当のテクニカル分析ができるようになる,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Aktiver Vermögensaufbau mit ETF,Business Finance,beginner level,20,112,2.0,Beginner,aktiver vermögensaufbau mit etf,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
【個人事業主向け】青色申告の記帳を自力で行うための複式簿記の基本,Business Finance,beginner level,30,41,3.0,Beginner,【個人事業主向け】青色申告の記帳を自力で行うための複式簿記の基本,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Profit and Loss Account for bankers and credit analysts,Business Finance,beginner level,20,1,7.5,Beginner,profit and loss account for bankers and credit analysts,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Business Accounts For Managers,Business Finance,beginner level,30,16,3.0,Beginner,business accounts for managers,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Black Scholes Option Pricing Model,Business Finance,beginner level,25,3,1.0,Beginner,black scholes option pricing model,2.9408898,15.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Chief Wealth Officer,Business Finance,beginner level,45,4,1.0,Beginner,chief wealth officer,4.61267,10.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Practical Accounts Training A,Business Finance,intermediate level,35,2,31.5,Intermediate,practical accounts training a,4.839336,1228.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
2. Principles of Simple Interest - advanced problems,Business Finance,intermediate level,20,10,1.5,Intermediate,2. principles of simple interest - advanced problems,4.880269,7.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
How to Read Financial Statements,Business Finance,beginner level,20,5,2.0,Beginner,how to read financial statements,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
